[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.4842 rec=1.4790 kl=0.5188 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.4842 rec=1.4790 kl=0.5188 n_points=2:   0%|          | 3/100001 [00:01<12:13:40,  2.27it/s]
loss=1.2459 rec=1.2409 kl=0.5035 n_points=2:   0%|          | 3/100001 [00:01<12:13:40,  2.27it/s]
loss=1.0465 rec=1.0416 kl=0.4916 n_points=2:   0%|          | 3/100001 [00:01<12:13:40,  2.27it/s]
loss=1.0465 rec=1.0416 kl=0.4916 n_points=2:   0%|          | 5/100001 [00:01<6:49:30,  4.07it/s] 
loss=0.8539 rec=0.8491 kl=0.4841 n_points=2:   0%|          | 5/100001 [00:01<6:49:30,  4.07it/s]
loss=0.7073 rec=0.7026 kl=0.4736 n_points=2:   0%|          | 5/100001 [00:01<6:49:30,  4.07it/s]
loss=0.7073 rec=0.7026 kl=0.4736 n_points=2:   0%|          | 7/100001 [00:01<4:39:39,  5.96it/s]
loss=0.5747 rec=0.5700 kl=0.4688 n_points=2:   0%|          | 7/100001 [00:01<4:39:39,  5.96it/s]
loss=0.4738 rec=0.4692 kl=0.4611 n_points=2:   0%|          | 7/100001 [00:02<4:39:39,  5.96it/s]
loss=0.4738 rec=0.4692 kl=0.4611 n_points=2:   0%|          | 9/100001 [00:02<3:34:08,  7.78it/s]
loss=0.3892 rec=0.3847 kl=0.4493 n_points=2:   0%|          | 9/100001 [00:02<3:34:08,  7.78it/s]
loss=0.3264 rec=0.3219 kl=0.4466 n_points=2:   0%|          | 9/100001 [00:02<3:34:08,  7.78it/s]
loss=0.3264 rec=0.3219 kl=0.4466 n_points=2:   0%|          | 11/100001 [00:02<2:55:19,  9.51it/s]
loss=0.2717 rec=0.2673 kl=0.4383 n_points=2:   0%|          | 11/100001 [00:02<2:55:19,  9.51it/s]
loss=0.2293 rec=0.2250 kl=0.4323 n_points=2:   0%|          | 11/100001 [00:02<2:55:19,  9.51it/s]
