Latest Run: 730f1a84-e161-4381-a871-c061b3f485aa
Seed: 1
PE: nope
Bits: 16
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/730f1a84-e161-4381-a871-c061b3f485aa
Summary CSV: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/730f1a84-e161-4381-a871-c061b3f485aa/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.901517               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       2            5.045669               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       3            5.291165               1.248047         1.000000                1.000000                 2       1.000000               1.000000
   ID       4            5.583221               1.539062         1.000000                1.000000                 3       1.000000               1.000000
   ID       5            5.896897               1.859375         1.000000                1.000000                 3       1.000000               1.000000
   ID       6            6.201499               2.171875         1.000000                1.000000                 4       1.000000               1.000000
   ID       7            6.492783               2.484375         1.000000                1.000000                 4       1.000000               1.000000
   ID       8            6.654806               2.656250         1.000000                1.000000                 5       1.000000               1.000000
   ID       9            6.942480               2.964844         1.000000                1.000000                 5       1.000000               1.000000
   ID      10            7.236873               3.246094         1.000000                1.000000                 6       1.000000               1.000000
   ID      11            7.411237               3.425781         1.000000                1.000000                 6       1.000000               1.000000
   ID      12            7.716330               3.736328         1.000000                1.000000                 6       1.000000               1.000000
   ID      13            7.947227               3.953125         1.000000                1.000000                 6       1.000000               1.000000
   ID      14            8.241748               4.250000         1.000000                1.000000                 7       1.000000               1.000000
   ID      15            8.482576               4.488281         1.000000                1.000000                 7       1.000000               1.000000
   ID      16            8.740639               4.748047         1.000000                1.000000                 7       1.000000               1.000000
   ID      17            8.994139               5.005859         1.000000                1.000000                 8       1.000000               1.000000
   ID      18            9.238408               5.255859         1.000000                1.000000                 8       1.000000               1.000000
   ID      19            9.529121               5.554688         1.000000                1.000000                 9       1.000000               1.000000
   ID      20            9.749018               5.771484         1.000000                1.000000                 9       1.000000               1.000000
  OOD      21           10.026125               6.054688         0.998047                1.000000                 9       0.998047               0.998047
  OOD      22           10.316840               6.351562         1.000000                1.000000                 9       1.000000               1.000000
  OOD      40           14.734095              10.789062         0.945312                0.945312                15       0.945312               0.941406
  OOD      60           19.575551              15.763672         0.074219                0.072266                22       0.074219               0.064453
------------------------------------------------------------------------------------------------------------------------
