Latest Run: 54ada248-49b0-4cdf-be34-41a91011cd14
Seed: 1
PE: nope
Bits: 32
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/nope/fp32/54ada248-49b0-4cdf-be34-41a91011cd14
Summary CSV: ../models/precision_ponder/copy_ponder/nope/fp32/54ada248-49b0-4cdf-be34-41a91011cd14/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.944941               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       2            5.025401               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       3            5.123462               1.130859         1.000000                1.000000                 1       1.000000               1.000000
   ID       4            5.310955               1.357422         1.000000                1.000000                 2       1.000000               1.000000
   ID       5            5.582533               1.656250         1.000000                1.000000                 2       1.000000               1.000000
   ID       6            5.783059               1.824219         1.000000                1.000000                 2       1.000000               1.000000
   ID       7            5.902082               1.931641         1.000000                1.000000                 2       1.000000               1.000000
   ID       8            5.928838               1.941406         1.000000                1.000000                 2       1.000000               1.000000
   ID       9            5.966186               1.980469         1.000000                1.000000                 2       1.000000               1.000000
   ID      10            5.988003               1.996094         1.000000                1.000000                 2       1.000000               1.000000
   ID      11            5.995570               1.996094         1.000000                1.000000                 2       1.000000               1.000000
   ID      12            5.997439               1.996094         1.000000                1.000000                 2       1.000000               1.000000
   ID      13            6.008241               2.003906         1.000000                1.000000                 2       1.000000               1.000000
   ID      14            6.017901               2.007812         1.000000                1.000000                 2       1.000000               1.000000
   ID      15            6.051707               2.037109         1.000000                1.000000                 2       1.000000               1.000000
   ID      16            6.161217               2.285156         1.000000                1.000000                 2       1.000000               1.000000
   ID      17            6.315458               2.486328         0.996094                1.000000                 3       0.996094               1.000000
   ID      18            6.549060               2.730469         0.998047                1.000000                 3       0.998047               1.000000
   ID      19            6.774909               2.904297         1.000000                1.000000                 3       1.000000               1.000000
   ID      20            6.940150               3.048828         0.996094                1.000000                 3       0.996094               1.000000
  OOD      21            7.141153               3.201172         0.996094                1.000000                 4       0.996094               1.000000
  OOD      22            7.353157               3.425781         0.998047                1.000000                 5       0.998047               1.000000
  OOD      40           11.432171               7.882812         0.048828                0.242188                14       0.048828               0.212891
  OOD      60           14.805735              11.261719         0.000000                0.000000                 1       0.000000               0.000000
------------------------------------------------------------------------------------------------------------------------
