Latest Run: b421c20b-8f33-4cc2-95f9-633e10ed3cfd
Seed: 1
PE: rope
Bits: 16
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/b421c20b-8f33-4cc2-95f9-633e10ed3cfd
Summary CSV: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/b421c20b-8f33-4cc2-95f9-633e10ed3cfd/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.988299               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       2            5.036465               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       3            4.992516               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       4            4.981708               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       5            5.007710               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       6            6.000886               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID       7            5.994028               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID       8            5.990692               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID       9            5.974858               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      10            5.992975               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      11            5.989329               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      12            5.977306               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      13            5.990294               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      14            6.009370               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      15            6.013594               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      16            6.009176               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      17            6.022187               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      18            7.005369               3.000000              1.0                     1.0                 3            1.0                    1.0
   ID      19            7.013577               3.000000              1.0                     1.0                 3            1.0                    1.0
   ID      20            6.999277               3.000000              1.0                     1.0                 3            1.0                    1.0
  OOD      21            6.992569               3.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      22            6.727110               2.996094              0.0                     0.0                 1            0.0                    0.0
  OOD      40           12.947914               4.853516              0.0                     0.0                 1            0.0                    0.0
  OOD      60           11.930050               4.087891              0.0                     0.0                 1            0.0                    0.0
------------------------------------------------------------------------------------------------------------------------
