Latest Run: 3af821ad-9898-43fe-8ea4-567606436259
Seed: 1
PE: rope
Bits: 32
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/rope/fp32/3af821ad-9898-43fe-8ea4-567606436259
Summary CSV: ../models/precision_ponder/copy_ponder/rope/fp32/3af821ad-9898-43fe-8ea4-567606436259/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            5.004049               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       2            5.003384               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       3            5.002894               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       4            5.003710               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       5            5.004339               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       6            5.005751               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       7            5.003620               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       8            6.005933               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID       9            6.003632               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      10            6.002264               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      11            6.002840               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      12            6.003850               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      13            6.002892               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      14            6.002178               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      15            6.002871               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      16            6.003427               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      17            6.003093               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      18            6.004667               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      19            6.004566               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      20            6.004279               2.000000              1.0                     1.0                 2            1.0                    1.0
  OOD      21            6.011540               2.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      22            6.059833               2.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      40            6.652312               2.998047              0.0                     0.0                 1            0.0                    0.0
  OOD      60            6.555634               2.992188              0.0                     0.0                 1            0.0                    0.0
------------------------------------------------------------------------------------------------------------------------
