Latest Run: 4231a316-fdc0-418c-b1db-7b25451e0199
Seed: 2
PE: nope
Bits: 16
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/4231a316-fdc0-418c-b1db-7b25451e0199
Summary CSV: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/4231a316-fdc0-418c-b1db-7b25451e0199/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.973650               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       2            5.038822               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       3            5.081398               1.125000         1.000000                1.000000                 1       1.000000               1.000000
   ID       4            5.133943               1.259766         1.000000                1.000000                 2       1.000000               1.000000
   ID       5            5.480935               1.550781         1.000000                1.000000                 2       1.000000               1.000000
   ID       6            5.726418               1.775391         1.000000                1.000000                 2       1.000000               1.000000
   ID       7            5.854433               1.898438         1.000000                1.000000                 2       1.000000               1.000000
   ID       8            5.908036               1.949219         1.000000                1.000000                 2       1.000000               1.000000
   ID       9            5.954876               1.984375         1.000000                1.000000                 2       1.000000               1.000000
   ID      10            5.969034               1.994141         1.000000                1.000000                 2       1.000000               1.000000
   ID      11            5.986445               2.001953         1.000000                1.000000                 2       1.000000               1.000000
   ID      12            6.003580               2.001953         1.000000                1.000000                 2       1.000000               0.998047
   ID      13            6.024396               2.041016         1.000000                1.000000                 2       1.000000               1.000000
   ID      14            6.074833               2.164062         1.000000                1.000000                 2       1.000000               1.000000
   ID      15            6.186433               2.373047         1.000000                1.000000                 3       1.000000               1.000000
   ID      16            6.341910               2.601562         0.998047                1.000000                 3       0.998047               1.000000
   ID      17            6.489604               2.806641         1.000000                1.000000                 3       1.000000               0.998047
   ID      18            6.650352               2.939453         1.000000                1.000000                 3       1.000000               1.000000
   ID      19            6.784761               2.990234         0.994141                1.000000                 6       0.994141               0.998047
   ID      20            6.918196               3.000000         1.000000                1.000000                 3       1.000000               0.998047
  OOD      21            7.015889               3.001953         0.998047                1.000000                 4       0.998047               0.998047
  OOD      22            7.078450               3.048828         0.994141                1.000000                 5       0.994141               0.994141
  OOD      40            9.848476               6.585938         0.035156                0.041016                 5       0.035156               0.029297
  OOD      60           11.651350               8.634766         0.000000                0.000000                 1       0.000000               0.000000
------------------------------------------------------------------------------------------------------------------------
