Latest Run: 8dd0c9c3-1929-4029-9a0a-8cee80923b59
Seed: 2
PE: nope
Bits: 32
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/nope/fp32/8dd0c9c3-1929-4029-9a0a-8cee80923b59
Summary CSV: ../models/precision_ponder/copy_ponder/nope/fp32/8dd0c9c3-1929-4029-9a0a-8cee80923b59/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.997839               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       2            5.024386               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       3            5.019505               1.000000         1.000000                1.000000                 1       1.000000               1.000000
   ID       4            5.062992               1.044922         1.000000                1.000000                 2       1.000000               1.000000
   ID       5            5.446111               1.664062         1.000000                1.000000                 2       1.000000               1.000000
   ID       6            5.760003               1.853516         1.000000                1.000000                 2       1.000000               1.000000
   ID       7            5.873755               1.894531         1.000000                1.000000                 2       1.000000               0.978516
   ID       8            5.924388               1.951172         1.000000                1.000000                 2       1.000000               0.982422
   ID       9            5.962379               1.982422         1.000000                1.000000                 2       1.000000               0.994141
   ID      10            5.977489               1.988281         1.000000                1.000000                 2       1.000000               0.994141
   ID      11            5.983847               1.998047         1.000000                1.000000                 2       1.000000               0.992188
   ID      12            5.988987               2.000000         1.000000                1.000000                 2       1.000000               0.994141
   ID      13            5.987330               1.998047         1.000000                1.000000                 2       1.000000               0.998047
   ID      14            5.992844               2.000000         1.000000                1.000000                 2       1.000000               0.998047
   ID      15            5.998793               2.000000         1.000000                1.000000                 2       1.000000               1.000000
   ID      16            6.008730               2.000000         1.000000                1.000000                 2       1.000000               0.998047
   ID      17            6.011352               2.000000         1.000000                1.000000                 2       1.000000               0.988281
   ID      18            6.009228               2.000000         0.998047                1.000000                 3       0.998047               0.994141
   ID      19            6.012897               2.000000         1.000000                1.000000                 2       1.000000               0.996094
   ID      20            6.026312               2.033203         1.000000                1.000000                 2       1.000000               0.980469
  OOD      21            6.068421               2.166016         1.000000                1.000000                 2       1.000000               0.988281
  OOD      22            6.175340               2.441406         1.000000                1.000000                 3       1.000000               0.990234
  OOD      40            7.617120               3.906250         0.027344                0.029297                 6       0.027344               0.023438
  OOD      60            8.516979               4.992188         0.000000                0.000000                 1       0.000000               0.000000
------------------------------------------------------------------------------------------------------------------------
