Latest Run: feddc1c7-d28a-4933-a1fb-9e1d3d014b04
Seed: 2
PE: nope
Bits: 8
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/nope/wbits8_all_all_params/feddc1c7-d28a-4933-a1fb-9e1d3d014b04
Summary CSV: ../models/precision_ponder/copy_ponder/nope/wbits8_all_all_params/feddc1c7-d28a-4933-a1fb-9e1d3d014b04/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1               128.0                  128.0              0.0                0.458984                 1            0.0                    0.0
   ID       2               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       3               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       4               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       5               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       6               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       7               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       8               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID       9               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      10               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      11               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      12               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      13               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      14               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      15               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      16               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      17               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      18               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      19               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
   ID      20               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
  OOD      21               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
  OOD      22               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
  OOD      40               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
  OOD      60               128.0                  128.0              0.0                0.000000                 1            0.0                    0.0
------------------------------------------------------------------------------------------------------------------------
