Latest Run: 132722e5-9a70-4a1a-90b3-7d71421f69e2
Seed: 2
PE: rope
Bits: 16
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/132722e5-9a70-4a1a-90b3-7d71421f69e2
Summary CSV: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/132722e5-9a70-4a1a-90b3-7d71421f69e2/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            5.000299               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       2            4.999344               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       3            4.997648               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       4            4.998813               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       5            4.998299               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       6            5.001492               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       7            4.999964               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       8            5.000047               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       9            4.997232               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      10            4.997217               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      11            5.999563               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      12            6.000485               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      13            6.000328               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      14            6.000711               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      15            6.000438               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      16            7.000436               3.000000              1.0                     1.0                 3            1.0                    1.0
   ID      17            5.999517               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      18            5.999824               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      19            5.998891               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      20            7.001289               3.000000              1.0                     1.0                 3            1.0                    1.0
  OOD      21            7.030768               3.072266              0.0                     0.0                 1            0.0                    0.0
  OOD      22            6.868707               3.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      40            6.948326               3.044922              0.0                     0.0                 1            0.0                    0.0
  OOD      60            6.970596               3.367188              0.0                     0.0                 1            0.0                    0.0
------------------------------------------------------------------------------------------------------------------------
