Latest Run: 035bc515-ddbd-4561-a50d-be54597c53e0
Seed: 2
PE: rope
Bits: 32
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/rope/fp32/035bc515-ddbd-4561-a50d-be54597c53e0
Summary CSV: ../models/precision_ponder/copy_ponder/rope/fp32/035bc515-ddbd-4561-a50d-be54597c53e0/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1            4.961367               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       2            5.004097               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       3            5.038972               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       4            5.039755               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       5            5.042942               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       6            5.025455               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       7            4.997302               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       8            4.985462               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID       9            4.984602               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      10            5.020845               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      11            5.031974               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      12            5.034677               1.000000              1.0                     1.0                 1            1.0                    1.0
   ID      13            5.538948               1.519531              1.0                     1.0                 2            1.0                    1.0
   ID      14            5.879462               1.855469              1.0                     1.0                 2            1.0                    1.0
   ID      15            5.942698               1.986328              1.0                     1.0                 2            1.0                    1.0
   ID      16            5.953285               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      17            5.928147               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      18            5.917621               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      19            5.945832               2.000000              1.0                     1.0                 2            1.0                    1.0
   ID      20            6.001458               2.000000              1.0                     1.0                 2            1.0                    1.0
  OOD      21            6.024053               2.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      22            6.025802               2.000000              0.0                     0.0                 1            0.0                    0.0
  OOD      40            5.948061               1.992188              0.0                     0.0                 1            0.0                    0.0
  OOD      60            6.099100               2.121094              0.0                     0.0                 1            0.0                    0.0
------------------------------------------------------------------------------------------------------------------------
