Latest Run: 606ce7a8-de33-4842-8a16-049ec204f100
Seed: 2
PE: rope
Bits: 8
Matched Runs: 1
Run Dir: ../models/precision_ponder/copy_ponder/rope/wbits8_all_all_params/606ce7a8-de33-4842-8a16-049ec204f100
Summary CSV: ../models/precision_ponder/copy_ponder/rope/wbits8_all_all_params/606ce7a8-de33-4842-8a16-049ec204f100/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  expected_exit_step  argmax_exit_step_mean  auto_acc_answer  best_forced_acc_answer  best_forced_step  auto_acc_full  final_step_acc_answer
   ID       1               128.0                  128.0         0.000000                1.000000                 1       0.000000               0.000000
   ID       2               128.0                  128.0         0.228516                0.498047                 1       0.000000               0.228516
   ID       3               128.0                  128.0         0.000000                0.238281                 4       0.000000               0.000000
   ID       4               128.0                  128.0         0.113281                0.113281                 9       0.054688               0.113281
   ID       5               128.0                  128.0         0.017578                0.033203                 2       0.017578               0.017578
   ID       6               128.0                  128.0         0.000000                0.017578                 2       0.000000               0.000000
   ID       7               128.0                  128.0         0.000000                0.015625                 4       0.000000               0.000000
   ID       8               128.0                  128.0         0.001953                0.005859                 2       0.000000               0.001953
   ID       9               128.0                  128.0         0.003906                0.003906                 4       0.000000               0.003906
   ID      10               128.0                  128.0         0.000000                0.003906                 3       0.000000               0.000000
   ID      11               128.0                  128.0         0.000000                0.001953                 3       0.000000               0.000000
   ID      12               128.0                  128.0         0.000000                0.001953                 7       0.000000               0.000000
   ID      13               128.0                  128.0         0.000000                0.001953                 2       0.000000               0.000000
   ID      14               128.0                  128.0         0.000000                0.001953                 4       0.000000               0.000000
   ID      15               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
   ID      16               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
   ID      17               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
   ID      18               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
   ID      19               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
   ID      20               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
  OOD      21               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
  OOD      22               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
  OOD      40               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
  OOD      60               128.0                  128.0         0.000000                0.000000                 1       0.000000               0.000000
------------------------------------------------------------------------------------------------------------------------
