Latest Run: 6173db02-c575-4581-8d22-27b43bd95cde
Run Dir: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/6173db02-c575-4581-8d22-27b43bd95cde
Summary CSV: ../models/precision_ponder/copy_ponder/nope/wbits16_all_all_params/6173db02-c575-4581-8d22-27b43bd95cde/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  best_forced_answer_acc  best_forced_answer_step  final_step_acc_answer  auto_acc_full  auto_acc_answer  best_forced_acc_answer  best_forced_step
   ID       1         1.000000       1.000000            4.959100               1.000000                1.000000                        1               1.000000       1.000000         1.000000                1.000000                 1
   ID       2         1.000000       1.000000            5.310401               1.250000                1.000000                        2               1.000000       1.000000         1.000000                1.000000                 2
   ID       3         1.000000       1.000000            5.662158               1.570312                1.000000                        3               1.000000       1.000000         1.000000                1.000000                 3
   ID       4         1.000000       1.000000            6.072384               2.242188                1.000000                        3               1.000000       1.000000         1.000000                1.000000                 3
   ID       5         1.000000       1.000000            6.407052               2.566406                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID       6         1.000000       1.000000            6.744867               2.865234                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID       7         1.000000       1.000000            6.905190               3.023438                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID       8         1.000000       1.000000            7.260892               3.357422                1.000000                        5               1.000000       1.000000         1.000000                1.000000                 5
   ID       9         1.000000       1.000000            7.483111               3.564453                1.000000                        5               1.000000       1.000000         1.000000                1.000000                 5
   ID      10         1.000000       1.000000            7.787274               3.865234                1.000000                        6               0.998047       1.000000         1.000000                1.000000                 6
   ID      11         1.000000       1.000000            7.938273               4.019531                1.000000                        6               0.998047       1.000000         1.000000                1.000000                 6
   ID      12         1.000000       1.000000            8.241945               4.326172                1.000000                        7               1.000000       1.000000         1.000000                1.000000                 7
   ID      13         1.000000       1.000000            8.492844               4.560547                1.000000                        6               1.000000       1.000000         1.000000                1.000000                 6
   ID      14         1.000000       1.000000            8.828379               4.910156                1.000000                        7               0.998047       1.000000         1.000000                1.000000                 7
   ID      15         1.000000       1.000000            9.074323               5.121094                1.000000                        8               1.000000       1.000000         1.000000                1.000000                 8
   ID      16         1.000000       1.000000            9.252143               5.326172                1.000000                        8               0.998047       1.000000         1.000000                1.000000                 8
   ID      17         1.000000       1.000000            9.559991               5.619141                1.000000                        8               0.998047       1.000000         1.000000                1.000000                 8
   ID      18         1.000000       1.000000            9.752461               5.804688                1.000000                        9               0.996094       1.000000         1.000000                1.000000                 9
   ID      19         1.000000       1.000000           10.063314               6.103516                1.000000                        9               1.000000       1.000000         1.000000                1.000000                 9
   ID      20         1.000000       1.000000           10.279688               6.324219                1.000000                       10               1.000000       1.000000         1.000000                1.000000                10
  OOD      21         1.000000       1.000000           10.564252               6.630859                1.000000                       10               1.000000       1.000000         1.000000                1.000000                10
  OOD      22         1.000000       1.000000           10.901163               6.943359                1.000000                       10               0.998047       1.000000         1.000000                1.000000                10
  OOD      40         0.060547       0.037109           15.311615              11.388672                0.060547                       12               0.037109       0.037109         0.060547                0.060547                12
  OOD      60         0.000000       0.000000           20.082383              16.242188                0.000000                        1               0.000000       0.000000         0.000000                0.000000                 1
------------------------------------------------------------------------------------------------------------------------
