Latest Run: f36be47b-dd34-497c-abf1-baf439dbbd81
Run Dir: ../models/precision_ponder/copy_ponder/nope/fp32/f36be47b-dd34-497c-abf1-baf439dbbd81
Summary CSV: ../models/precision_ponder/copy_ponder/nope/fp32/f36be47b-dd34-497c-abf1-baf439dbbd81/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  best_forced_answer_acc  best_forced_answer_step  final_step_acc_answer  auto_acc_full  auto_acc_answer  best_forced_acc_answer  best_forced_step
   ID       1         1.000000       1.000000            4.952304               1.000000                1.000000                        1               1.000000       1.000000         1.000000                1.000000                 1
   ID       2         1.000000       1.000000            4.895628               1.000000                1.000000                        1               1.000000       1.000000         1.000000                1.000000                 1
   ID       3         1.000000       1.000000            4.989115               1.093750                1.000000                        1               1.000000       1.000000         1.000000                1.000000                 1
   ID       4         1.000000       1.000000            5.218657               1.294922                1.000000                        2               1.000000       1.000000         1.000000                1.000000                 2
   ID       5         1.000000       1.000000            5.531590               1.673828                1.000000                        3               1.000000       1.000000         1.000000                1.000000                 3
   ID       6         1.000000       1.000000            5.878558               1.980469                1.000000                        3               1.000000       1.000000         1.000000                1.000000                 3
   ID       7         1.000000       1.000000            6.004426               2.126953                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID       8         1.000000       1.000000            6.306958               2.451172                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID       9         1.000000       1.000000            6.536398               2.667969                1.000000                        4               1.000000       1.000000         1.000000                1.000000                 4
   ID      10         1.000000       1.000000            6.812429               2.972656                1.000000                        5               1.000000       1.000000         1.000000                1.000000                 5
   ID      11         1.000000       1.000000            7.000486               3.195312                1.000000                        5               1.000000       1.000000         1.000000                1.000000                 5
   ID      12         1.000000       1.000000            7.306028               3.482422                1.000000                        6               1.000000       1.000000         1.000000                1.000000                 6
   ID      13         1.000000       1.000000            7.560935               3.746094                1.000000                        6               1.000000       1.000000         1.000000                1.000000                 6
   ID      14         1.000000       1.000000            7.888223               4.085938                1.000000                        6               1.000000       1.000000         1.000000                1.000000                 6
   ID      15         1.000000       1.000000            8.104698               4.310547                1.000000                        7               1.000000       1.000000         1.000000                1.000000                 7
   ID      16         1.000000       1.000000            8.287354               4.458984                1.000000                        7               1.000000       1.000000         1.000000                1.000000                 7
   ID      17         1.000000       1.000000            8.619545               4.818359                1.000000                        7               1.000000       1.000000         1.000000                1.000000                 7
   ID      18         1.000000       1.000000            8.801395               5.021484                1.000000                        9               1.000000       1.000000         1.000000                1.000000                 9
   ID      19         1.000000       1.000000            9.094417               5.324219                1.000000                        8               1.000000       1.000000         1.000000                1.000000                 8
   ID      20         1.000000       1.000000            9.340923               5.593750                1.000000                        9               1.000000       1.000000         1.000000                1.000000                 9
  OOD      21         1.000000       1.000000            9.628886               5.929688                1.000000                        9               1.000000       1.000000         1.000000                1.000000                 9
  OOD      22         1.000000       1.000000            9.964962               6.283203                1.000000                        9               1.000000       1.000000         1.000000                1.000000                 9
  OOD      40         0.349609       0.349609           14.368413              10.845703                0.417969                       41               0.417969       0.349609         0.349609                0.417969                41
  OOD      60         0.000000       0.000000           18.733490              15.384766                0.000000                        1               0.000000       0.000000         0.000000                0.000000                 1
------------------------------------------------------------------------------------------------------------------------
