Latest Run: 4bdf8006-4a6e-4e24-9675-b6a419e3825f
Run Dir: ../models/precision_ponder/copy_ponder/nope/wbits8_all_all_params/4bdf8006-4a6e-4e24-9675-b6a419e3825f
Summary CSV: ../models/precision_ponder/copy_ponder/nope/wbits8_all_all_params/4bdf8006-4a6e-4e24-9675-b6a419e3825f/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  best_forced_answer_acc  best_forced_answer_step  final_step_acc_answer  auto_acc_full  auto_acc_answer  best_forced_acc_answer  best_forced_step
   ID       1         1.000000            0.0          127.990366                  128.0                1.000000                        2               1.000000            0.0         1.000000                1.000000                 2
   ID       2         0.501953            0.0          127.995815                  128.0                0.761719                        5               0.501953            0.0         0.501953                0.761719                 5
   ID       3         0.275391            0.0          127.996908                  128.0                0.421875                        5               0.275391            0.0         0.275391                0.421875                 5
   ID       4         0.199219            0.0          127.998640                  128.0                0.226562                        5               0.199219            0.0         0.199219                0.226562                 5
   ID       5         0.103516            0.0          127.999437                  128.0                0.103516                       17               0.103516            0.0         0.103516                0.103516                17
   ID       6         0.044922            0.0          127.999708                  128.0                0.056641                       11               0.044922            0.0         0.044922                0.056641                11
   ID       7         0.011719            0.0          127.999821                  128.0                0.021484                        5               0.011719            0.0         0.011719                0.021484                 5
   ID       8         0.011719            0.0          127.999966                  128.0                0.019531                        8               0.011719            0.0         0.011719                0.019531                 8
   ID       9         0.001953            0.0          128.000000                  128.0                0.007812                       17               0.001953            0.0         0.001953                0.007812                17
   ID      10         0.003906            0.0          128.000000                  128.0                0.005859                       13               0.003906            0.0         0.003906                0.005859                13
   ID      11         0.001953            0.0          128.000000                  128.0                0.001953                        5               0.001953            0.0         0.001953                0.001953                 5
   ID      12         0.000000            0.0          127.999966                  128.0                0.001953                        5               0.000000            0.0         0.000000                0.001953                 5
   ID      13         0.001953            0.0          128.000000                  128.0                0.001953                        5               0.001953            0.0         0.001953                0.001953                 5
   ID      14         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      15         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      16         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      17         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      18         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      19         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
   ID      20         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
  OOD      21         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
  OOD      22         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
  OOD      40         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
  OOD      60         0.000000            0.0          128.000000                  128.0                0.000000                        1               0.000000            0.0         0.000000                0.000000                 1
------------------------------------------------------------------------------------------------------------------------
