Latest Run: 5a0541d3-b336-4e29-93b7-eec48e1cfbda
Run Dir: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/5a0541d3-b336-4e29-93b7-eec48e1cfbda
Summary CSV: ../models/precision_ponder/copy_ponder/rope/wbits16_all_all_params/5a0541d3-b336-4e29-93b7-eec48e1cfbda/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  best_forced_answer_acc  best_forced_answer_step  final_step_acc_answer  auto_acc_full  auto_acc_answer  best_forced_acc_answer  best_forced_step
   ID       1              1.0            1.0            5.038911                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       2              1.0            1.0            5.005115                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       3              1.0            1.0            5.002644                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       4              1.0            1.0            4.971479                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       5              1.0            1.0            5.014771                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       6              1.0            1.0            5.018248                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       7              1.0            1.0            4.993199                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       8              1.0            1.0            5.030211                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       9              1.0            1.0            5.027880                    1.0                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID      10              1.0            1.0            5.976905                    2.0                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      11              1.0            1.0            5.992668                    2.0                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      12              1.0            1.0            5.988053                    2.0                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      13              1.0            1.0            5.974290                    2.0                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      14              1.0            1.0            6.052133                    2.0                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      15              1.0            1.0            6.996421                    3.0                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      16              1.0            1.0            7.986522                    4.0                     1.0                        4                    1.0            1.0              1.0                     1.0                 4
   ID      17              1.0            1.0            8.972524                    5.0                     1.0                        5                    1.0            1.0              1.0                     1.0                 5
   ID      18              1.0            1.0           10.067599                    6.0                     1.0                        6                    1.0            1.0              1.0                     1.0                 6
   ID      19              1.0            1.0           11.024809                    7.0                     1.0                        7                    1.0            1.0              1.0                     1.0                 7
   ID      20              1.0            1.0           12.014308                    8.0                     1.0                        8                    1.0            1.0              1.0                     1.0                 8
  OOD      21              0.0            0.0           13.101115                    9.0                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      22              0.0            0.0           13.337564                    9.0                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      40              0.0            0.0            9.580596                    2.0                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      60              0.0            0.0           13.480540                    9.0                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
------------------------------------------------------------------------------------------------------------------------
