Latest Run: c6097f0e-77ee-402e-ae01-abfd14853cfa
Run Dir: ../models/precision_ponder/copy_ponder/rope/fp32/c6097f0e-77ee-402e-ae01-abfd14853cfa
Summary CSV: ../models/precision_ponder/copy_ponder/rope/fp32/c6097f0e-77ee-402e-ae01-abfd14853cfa/diagnostics/diagnostics_summary.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  best_forced_answer_acc  best_forced_answer_step  final_step_acc_answer  auto_acc_full  auto_acc_answer  best_forced_acc_answer  best_forced_step
   ID       1              1.0            1.0            4.990056               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       2              1.0            1.0            4.989768               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       3              1.0            1.0            4.992490               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       4              1.0            1.0            4.985564               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       5              1.0            1.0            4.990546               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       6              1.0            1.0            4.988393               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       7              1.0            1.0            4.992606               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       8              1.0            1.0            4.987213               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID       9              1.0            1.0            4.988839               1.000000                     1.0                        1                    1.0            1.0              1.0                     1.0                 1
   ID      10              1.0            1.0            5.988040               2.000000                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      11              1.0            1.0            5.996509               2.000000                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      12              1.0            1.0            5.989755               2.000000                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      13              1.0            1.0            5.989576               2.000000                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      14              1.0            1.0            5.991207               2.000000                     1.0                        2                    1.0            1.0              1.0                     1.0                 2
   ID      15              1.0            1.0            6.997428               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      16              1.0            1.0            6.988020               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      17              1.0            1.0            6.989784               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      18              1.0            1.0            6.993565               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      19              1.0            1.0            6.997288               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
   ID      20              1.0            1.0            6.995467               3.000000                     1.0                        3                    1.0            1.0              1.0                     1.0                 3
  OOD      21              0.0            0.0            7.006461               3.001953                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      22              0.0            0.0            7.609759               3.587891                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      40              0.0            0.0            7.382042               3.220703                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
  OOD      60              0.0            0.0           13.418006               6.507812                     0.0                        1                    0.0            0.0              0.0                     0.0                 1
------------------------------------------------------------------------------------------------------------------------
