Latest Run: 1c2190df-e5b5-4a69-a331-e5cf1d554f41
Run Dir: ../models/ape_once_baselines/copy_fixed_loop/wpe/1c2190df-e5b5-4a69-a331-e5cf1d554f41
Summary CSV: ../eval/ape_once_copy_fixed_loop/1c2190df-e5b5-4a69-a331-e5cf1d554f41/diagnostics_loops40/summary_by_length.csv
------------------------------------------------------------------------------------------------------------------------
split  length  best_forced_answer_acc  best_forced_answer_step  best_token_acc  best_token_step  min_step_loss  min_loss_step  acc_loop_L  acc_loop_20  acc_loop_40
   id       1                1.000000                        1        1.000000                1   1.188212e-07              5    1.000000     1.000000     1.000000
   id       2                1.000000                        2        1.000000                2   7.596099e-09              3    1.000000     1.000000     1.000000
   id       3                1.000000                        3        1.000000                3   2.157176e-08              8    1.000000     1.000000     1.000000
   id       4                1.000000                        4        1.000000                4   2.283680e-08              6    1.000000     1.000000     0.934082
   id       5                1.000000                        5        1.000000                5   2.586915e-08              6    1.000000     1.000000     0.968750
   id       6                1.000000                        6        1.000000                6   3.317836e-08              7    1.000000     1.000000     0.987793
   id       7                1.000000                        7        1.000000                7   3.842352e-08              8    1.000000     1.000000     0.994629
   id       8                1.000000                        8        1.000000                8   4.233443e-08              9    1.000000     1.000000     0.995605
   id       9                1.000000                        9        1.000000                9   4.887856e-08             10    1.000000     1.000000     0.992188
   id      10                1.000000                       10        1.000000               10   5.446296e-08             11    1.000000     1.000000     0.995117
   id      11                1.000000                       11        1.000000               11   5.930017e-08             12    1.000000     1.000000     0.997559
   id      12                1.000000                       12        1.000000               12   6.190384e-08             13    1.000000     1.000000     0.999512
   id      13                1.000000                       12        1.000000               12   6.366753e-08             13    1.000000     1.000000     0.998535
   id      14                1.000000                       13        1.000000               13   6.543267e-08             14    1.000000     1.000000     0.999023
   id      15                1.000000                       14        1.000000               14   6.877748e-08             15    1.000000     1.000000     0.999512
   id      16                1.000000                       15        1.000000               15   7.239739e-08             16    1.000000     1.000000     1.000000
   id      17                1.000000                       17        1.000000               17   7.940443e-08             18    1.000000     1.000000     1.000000
   id      18                1.000000                       17        1.000000               17   7.913621e-08             18    1.000000     1.000000     1.000000
   id      19                1.000000                       17        1.000000               17   8.039031e-08             18    1.000000     1.000000     1.000000
   id      20                1.000000                       18        1.000000               18   8.055675e-08             19    1.000000     1.000000     1.000000
  ood      21                0.995605                       25        0.999809               25   6.034318e-04             26    0.985840     0.975098     0.834473
  ood      22                0.718262                       18        0.987813               18   8.222813e-02             17    0.470215     0.647461     0.000000
  ood      30                0.995117                       28        0.999832               28   1.935114e-03             28    0.995117     0.829102     0.974609
  ood      40                0.903809                       33        0.995059               31   3.458739e-02             31    0.726562     0.077148     0.726562
  ood      60                0.115234                       40        0.893846               40   8.735915e-01             32         NaN     0.000000     0.115234
  ood     400                0.000000                        1        0.193797                1   3.881385e+00              1         NaN     0.000000     0.000000
------------------------------------------------------------------------------------------------------------------------
