Latest Run: 4fa7dc4b-5125-4b52-b88b-df9f803476b0
Summary CSV: ../eval/ape_once_copy_ponder/4fa7dc4b-5125-4b52-b88b-df9f803476b0/diagnostics_steps20/summary_by_length.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  argmax_exit_step_mode  best_forced_answer_acc  best_forced_answer_step  min_answer_step_loss  min_answer_loss_step
   id       1              1.0            1.0            4.927796                    1.0                      1                     1.0                        1              0.000000                     2
   id       2              1.0            1.0            4.927636                    1.0                      1                     1.0                        1              0.000000                     2
   id       3              1.0            1.0            4.929357                    1.0                      1                     1.0                        1              0.000000                     2
   id       4              1.0            1.0            4.929646                    1.0                      1                     1.0                        1              0.000000                     2
   id       5              1.0            1.0            4.930680                    1.0                      1                     1.0                        1              0.000000                     2
   id       6              1.0            1.0            4.930838                    1.0                      1                     1.0                        1              0.000000                     2
   id       7              1.0            1.0            4.930443                    1.0                      1                     1.0                        1              0.000000                     2
   id       8              1.0            1.0            4.930316                    1.0                      1                     1.0                        1              0.000000                     2
   id       9              1.0            1.0            4.930537                    1.0                      1                     1.0                        1              0.000000                     2
   id      10              1.0            1.0            4.929973                    1.0                      1                     1.0                        1              0.000000                     2
   id      11              1.0            1.0            4.930567                    1.0                      1                     1.0                        1              0.000000                     2
   id      12              1.0            1.0            4.930221                    1.0                      1                     1.0                        1              0.000000                     2
   id      13              1.0            1.0            4.931158                    1.0                      1                     1.0                        1              0.000000                     2
   id      14              1.0            1.0            4.930498                    1.0                      1                     1.0                        1              0.000000                     2
   id      15              1.0            1.0            4.931766                    1.0                      1                     1.0                        1              0.000000                     2
   id      16              1.0            1.0            4.931325                    1.0                      1                     1.0                        1              0.000000                     2
   id      17              1.0            1.0            4.931873                    1.0                      1                     1.0                        1              0.000000                     2
   id      18              1.0            1.0            4.931340                    1.0                      1                     1.0                        1              0.000000                     3
   id      19              1.0            1.0            4.932074                    1.0                      1                     1.0                        1              0.000000                     3
   id      20              1.0            1.0            4.930736                    1.0                      1                     1.0                        1              0.000000                     3
  ood      21              0.0            0.0            4.912765                    1.0                      1                     0.0                        1              2.084903                     1
  ood      22              0.0            0.0            4.909743                    1.0                      1                     0.0                        1              1.567505                     1
  ood      40              0.0            0.0            4.781061                    1.0                      1                     0.0                        1              7.045824                     1
  ood      60              0.0            0.0            4.781718                    1.0                      1                     0.0                        1              7.409536                     1
  ood     400              0.0            0.0            4.778715                    1.0                      1                     0.0                        1              7.346427                     1
------------------------------------------------------------------------------------------------------------------------
