Latest Run: 62b5c157-ad5a-4393-8d5c-05240098f878
Summary CSV: ../eval/nope_copy_fixed_loop/62b5c157-ad5a-4393-8d5c-05240098f878/diagnostics_loops40/summary_by_length.csv
------------------------------------------------------------------------------------------------------------------------
split  length  best_forced_answer_acc  best_forced_answer_step  best_token_acc  best_token_step  min_step_loss  min_loss_step  acc_loop_L  acc_loop_20  acc_loop_40
   id       1                1.000000                        1        1.000000                1   0.000000e+00              4    1.000000     1.000000     1.000000
   id       2                1.000000                        1        1.000000                1   2.191518e-08              9    1.000000     1.000000     1.000000
   id       3                1.000000                        2        1.000000                2   3.825407e-08              5    1.000000     1.000000     1.000000
   id       4                1.000000                        3        1.000000                3   3.949390e-08              6    1.000000     1.000000     1.000000
   id       5                1.000000                        4        1.000000                4   4.393015e-08              6    1.000000     1.000000     1.000000
   id       6                1.000000                        5        1.000000                5   4.954926e-08              7    1.000000     1.000000     1.000000
   id       7                1.000000                        6        1.000000                6   6.101456e-08              8    1.000000     1.000000     1.000000
   id       8                1.000000                        7        1.000000                7   7.635680e-08              9    1.000000     1.000000     1.000000
   id       9                1.000000                        8        1.000000                8   8.561816e-08             10    1.000000     1.000000     1.000000
   id      10                1.000000                        9        1.000000                9   9.892371e-08             10    1.000000     1.000000     1.000000
   id      11                1.000000                       10        1.000000               10   1.142299e-07             11    1.000000     1.000000     1.000000
   id      12                1.000000                       11        1.000000               11   1.167145e-07             12    1.000000     1.000000     1.000000
   id      13                1.000000                       12        1.000000               12   1.263221e-07             13    1.000000     1.000000     1.000000
   id      14                1.000000                       12        1.000000               12   1.357075e-07             14    1.000000     1.000000     1.000000
   id      15                1.000000                       13        1.000000               13   1.499771e-07             15    1.000000     1.000000     1.000000
   id      16                1.000000                       15        1.000000               15   1.736618e-07             16    1.000000     1.000000     1.000000
   id      17                1.000000                       15        1.000000               15   1.667280e-07             16    1.000000     1.000000     1.000000
   id      18                1.000000                       15        1.000000               15   1.769571e-07             17    1.000000     1.000000     1.000000
   id      19                1.000000                       17        1.000000               17   2.003978e-07             19    1.000000     1.000000     1.000000
   id      20                1.000000                       17        1.000000               17   2.076927e-07             19    1.000000     1.000000     1.000000
  ood      21                1.000000                       18        1.000000               18   2.203589e-07             20    1.000000     1.000000     1.000000
  ood      22                1.000000                       18        1.000000               18   2.259936e-07             20    1.000000     1.000000     1.000000
  ood      30                0.998535                       25        0.999954               25   5.297671e-04             26    0.998535     0.890625     0.998047
  ood      40                0.835449                       34        0.992432               35   1.116350e-01             36    0.827637     0.080078     0.827637
  ood      60                0.003906                       37        0.709181               40   1.623963e+00              7         NaN     0.000000     0.003906
  ood     400                0.000000                        1        0.342584               40   1.771063e+00              1         NaN     0.000000     0.000000
------------------------------------------------------------------------------------------------------------------------
