Latest Run: 62465a36-9f94-4157-8f93-edac50a7630d
Summary CSV: ../eval/nope_copy_ponder/62465a36-9f94-4157-8f93-edac50a7630d/diagnostics_steps20/summary_by_length.csv
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  argmax_exit_step_mode  best_forced_answer_acc  best_forced_answer_step  min_answer_step_loss  min_answer_loss_step
   id       1         1.000000       1.000000            4.941112               1.000000                      1                1.000000                        1          1.810840e-07                     2
   id       2         1.000000       1.000000            4.959125               1.000000                      1                1.000000                        1          1.010862e-06                    10
   id       3         1.000000       1.000000            5.188751               1.256836                      1                1.000000                        2          9.215623e-07                    13
   id       4         1.000000       1.000000            5.428788               1.506836                      2                1.000000                        2          8.314522e-07                    14
   id       5         1.000000       1.000000            5.633756               1.710938                      2                1.000000                        2          7.832185e-07                    20
   id       6         1.000000       1.000000            5.732272               1.807617                      2                1.000000                        2          7.786531e-07                    20
   id       7         1.000000       1.000000            5.825639               1.896484                      2                1.000000                        2          7.665362e-07                    20
   id       8         1.000000       1.000000            5.865854               1.936035                      2                1.000000                        2          7.644262e-07                    20
   id       9         1.000000       1.000000            5.884490               1.958984                      2                1.000000                        2          7.607154e-07                    20
   id      10         1.000000       1.000000            5.902144               1.983398                      2                1.000000                        2          7.435500e-07                    20
   id      11         1.000000       1.000000            5.905336               1.991211                      2                1.000000                        2          7.377817e-07                    20
   id      12         1.000000       1.000000            5.906709               1.996582                      2                1.000000                        2          7.339594e-07                    20
   id      13         1.000000       1.000000            5.907911               1.999512                      2                1.000000                        2          7.250387e-07                    20
   id      14         1.000000       1.000000            5.908408               2.000000                      2                1.000000                        2          7.224274e-07                    20
   id      15         1.000000       1.000000            5.911292               2.000977                      2                1.000000                        2          7.198227e-07                    20
   id      16         1.000000       1.000000            5.918297               2.000977                      2                1.000000                        2          7.172817e-07                    20
   id      17         0.999512       0.999512            5.922824               2.000000                      2                1.000000                        3          7.154950e-07                    20
   id      18         1.000000       1.000000            5.932406               2.000977                      2                1.000000                        2          7.087652e-07                    20
   id      19         0.999023       0.999023            5.948086               2.000000                      2                1.000000                        3          7.053815e-07                    20
   id      20         0.999023       0.999023            5.983495               2.011230                      2                1.000000                        3          1.983883e-06                    20
  ood      21         0.999023       0.999023            6.051718               2.164062                      2                1.000000                        3          7.025882e-07                    20
  ood      22         0.997559       0.997559            6.189328               2.521484                      3                1.000000                        3          7.242072e-07                    20
  ood      40         0.909180       0.909180            8.538289               4.923828                      5                0.942871                       20          5.931126e-03                     8
  ood      60         0.010742       0.010742           10.222606               6.766602                      7                0.015625                       19          3.030376e-01                     6
  ood     400         0.000000       0.000000           18.412074              20.000000                     20                0.000000                        1          1.018925e+00                     1
------------------------------------------------------------------------------------------------------------------------
