Latest Run: d3f9dc51-0ff3-46d2-b7d9-b6f58082f524
Summary CSV: ../eval/rope_copy_fixed_loop/d3f9dc51-0ff3-46d2-b7d9-b6f58082f524/diagnostics_loops40/summary_by_length.csv
------------------------------------------------------------------------------------------------------------------------
split  length  best_forced_answer_acc  best_forced_answer_step  best_token_acc  best_token_step  min_step_loss  min_loss_step  acc_loop_L  acc_loop_20  acc_loop_40
   id       1                1.000000                        1        1.000000                1   3.973643e-08              1         1.0     0.000000          0.0
   id       2                1.000000                        2        1.000000                2   1.501757e-08              2         1.0     0.000000          0.0
   id       3                1.000000                        3        1.000000                3   1.118751e-08              3         1.0     0.000000          0.0
   id       4                1.000000                        4        1.000000                4   1.745260e-08              4         1.0     0.000000          0.0
   id       5                1.000000                        5        1.000000                5   4.498620e-09              5         1.0     0.000000          0.0
   id       6                1.000000                        6        1.000000                6   1.811713e-09              6         1.0     0.000000          0.0
   id       7                1.000000                        7        1.000000                7   5.219286e-09              7         1.0     0.000000          0.0
   id       8                1.000000                        8        1.000000                8   3.178138e-09              8         1.0     0.000000          0.0
   id       9                1.000000                        9        1.000000                9   7.572286e-09              9         1.0     0.000000          0.0
   id      10                1.000000                       10        1.000000               10   2.129430e-09             10         1.0     0.000000          0.0
   id      11                1.000000                       11        1.000000               11   4.562584e-09             11         1.0     0.000000          0.0
   id      12                1.000000                       12        1.000000               12   3.891597e-09             12         1.0     0.000000          0.0
   id      13                1.000000                       13        1.000000               13   1.990701e-09             13         1.0     0.000000          0.0
   id      14                1.000000                       14        1.000000               14   3.587046e-09             14         1.0     0.000000          0.0
   id      15                1.000000                       15        1.000000               15   2.194770e-09             15         1.0     0.000000          0.0
   id      16                1.000000                       16        1.000000               16   2.557903e-09             16         1.0     0.000000          0.0
   id      17                1.000000                       17        1.000000               17   1.069183e-09             17         1.0     0.000000          0.0
   id      18                1.000000                       18        1.000000               18   5.034961e-10             18         1.0     0.000000          0.0
   id      19                1.000000                       19        1.000000               19   5.765329e-10             19         1.0     0.922852          0.0
   id      20                1.000000                       20        1.000000               20   2.841592e-09             20         1.0     1.000000          0.0
  ood      21                0.000977                       23        0.751507               23   1.931140e+00             23         0.0     0.000000          0.0
  ood      22                0.000000                        1        0.560343               24   6.350725e+00             24         0.0     0.000000          0.0
  ood      30                0.000000                        1        0.551437               31   5.701482e+00             32         0.0     0.000000          0.0
  ood      40                0.000000                        1        0.518136               40   6.335239e+00             40         0.0     0.000000          0.0
  ood      60                0.000000                        1        0.369952               40   1.225868e+01             40         NaN     0.000000          0.0
  ood     400                0.000000                        1        0.067747               40   2.423146e+01             40         NaN     0.000000          0.0
------------------------------------------------------------------------------------------------------------------------
