Latest Run: 85c8ce6d-4abc-4432-a343-739683bc4bf7
------------------------------------------------------------------------------------------------------------------------
split  length  auto_answer_acc  auto_code_acc  expected_exit_step  argmax_exit_step_mean  argmax_exit_step_mode  best_forced_answer_acc  best_forced_answer_step  min_answer_step_loss  min_answer_loss_step
   id       1              1.0            1.0            4.940893               1.000000                      1                     1.0                        1          0.000000e+00                     1
   id       2              1.0            1.0            4.932986               1.000000                      1                     1.0                        1          2.971501e-08                     1
   id       3              1.0            1.0            4.938119               1.000000                      1                     1.0                        1          2.165906e-07                     1
   id       4              1.0            1.0            4.933560               1.000000                      1                     1.0                        1          4.851301e-07                     1
   id       5              1.0            1.0            4.926686               1.000000                      1                     1.0                        1          3.078693e-07                     1
   id       6              1.0            1.0            4.941540               1.000000                      1                     1.0                        1          5.991602e-07                     2
   id       7              1.0            1.0            5.450964               1.511719                      2                     1.0                        2          6.229298e-07                     3
   id       8              1.0            1.0            5.926968               2.000000                      2                     1.0                        2          5.912004e-07                     3
   id       9              1.0            1.0            5.928287               2.000000                      2                     1.0                        2          5.841459e-07                     3
   id      10              1.0            1.0            5.912321               2.000000                      2                     1.0                        2          3.050488e-07                     2
   id      11              1.0            1.0            5.916477               2.000000                      2                     1.0                        2          1.833857e-07                     2
   id      12              1.0            1.0            5.920164               2.000000                      2                     1.0                        2          6.696883e-07                     3
   id      13              1.0            1.0            5.915922               2.000000                      2                     1.0                        2          4.995782e-07                     3
   id      14              1.0            1.0            5.925325               2.000000                      2                     1.0                        2          2.318452e-07                     3
   id      15              1.0            1.0            6.906693               3.000000                      3                     1.0                        3          5.239185e-07                     3
   id      16              1.0            1.0            6.910632               3.000000                      3                     1.0                        3          3.720924e-07                     4
   id      17              1.0            1.0            7.877768               4.000000                      4                     1.0                        4          4.058854e-07                     5
   id      18              1.0            1.0            7.890519               4.000000                      4                     1.0                        4          3.065377e-07                     5
   id      19              1.0            1.0            7.883542               4.000000                      4                     1.0                        4          7.212235e-08                     5
   id      20              1.0            1.0            7.886683               4.000000                      4                     1.0                        4          2.629531e-08                     5
  ood      21              0.0            0.0            7.961048               4.000000                      4                     0.0                        1          5.834241e+00                     3
  ood      22              0.0            0.0            7.915137               4.000000                      4                     0.0                        1          6.195844e+00                     3
  ood      40              0.0            0.0            7.796528               4.000000                      4                     0.0                        1          6.572098e+00                     2
  ood      60              0.0            0.0            8.209798               4.968262                      5                     0.0                        1          7.837276e+00                     2
  ood     400              0.0            0.0            8.598202               5.000000                      5                     0.0                        1          9.425370e+00                     2
------------------------------------------------------------------------------------------------------------------------
